Compartment,Antimicrobial,Amount,Units,Geolocation,Country,Year,Source
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0.007,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0.007,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0.001,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0.0024,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Aquatic,Oxytetracycline,0,ug/L,Maryland, USA,2005,10
Sediment,Oxytetracycline,0,ug/kg,Maryland, USA,2005,10
Sediment,Oxytetracycline,0,ug/kg,Maryland, USA,2005,10
Sediment,Oxytetracycline,0,ug/kg,Maryland, USA,2005,10
Sediment,Oxytetracycline,0,ug/kg,Maryland, USA,2005,10
Tissue,Oxytetracycline,0,ng/g,,India,2012,11
Tissue,Oxytetracycline,7.68,ng/g,,Mexico,2012,11
Tissue,Oxytetracycline,2.69,ng/g,,Chile,2012,11
Tissue,Oxytetracycline,0,ng/g,,USA,2012,11
Tissue,Oxytetracycline,0,ng/g,,USA,2012,11
Tissue,Oxytetracycline,3.91,ng/g,,USA,2012,11
Tissue,Oxytetracycline,0,ng/g,,USA,2012,11
Tissue,Oxytetracycline,8.555,ng/g,,USA,2012,11
Tissue,Oxytetracycline,0,ng/g,,USA,2012,11
Tissue,Oxytetracycline,0,ng/g,,USA,2012,11
Tissue,Oxytetracycline,0,ng/g,,Vietnam,2012,11
Aquatic,Oxytetracycline,328,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,935.5,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,34.1,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,313.1,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,1032,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,0,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,2450,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,399.5,ng/L,Muntenia, Romania,2019,12
Aquatic,Oxytetracycline,0,ng/L,Jiangsu, China,2011,13
Aquatic,Oxytetracycline,0,ng/L,Jiangsu, China,2011,13
Aquatic,Oxytetracycline,0,ng/L,Jiangsu, China,2011,13
Aquatic,Oxytetracycline,0,ng/L,Jiangsu, China,2011,13
Aquatic,Oxytetracycline,0,ng/L,Jiangsu, China,2012,13
Aquatic,Oxytetracycline,0,ng/L,Jiangsu, China,2012,13
Aquatic,Oxytetracycline,22.5,ng/L,Jiangsu, China,2012,13
Aquatic,Oxytetracycline,5.13,ng/L,Jiangsu, China,2012,13
Aquatic,Oxytetracycline,6.87,ug/L,Jiangsu, China,2009,14
Aquatic,Oxytetracycline,72.9,ug/L,Jiangsu, China,2009,14
Aquatic,Oxytetracycline,11.1,ug/L,Jiangsu, China,2009,14
Aquatic,Oxytetracycline,2.2,ug/L,Jiangsu, China,2009,14
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,20.67,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,16.38,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,8.33,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,10.06,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,9.18,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Sediment,Oxytetracycline,0,ng/L,Shandong, China,2017,15
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,4.2,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,"2,8",ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,2.8,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.5,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.3,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,21.7,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,3.5,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.7,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,15.2,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,51.5,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.4,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.2,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.2,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.2,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0.6,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.2,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,1.9,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,8.1,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ng/L,Hebei Province, China,2017,16
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,15,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,3,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,330,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2700,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,780,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,73,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,7,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,4,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1000,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2200,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1200,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1100,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,660,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,25,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,5,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,340,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,280,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,90,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,270,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,330,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,18,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2.4,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,3.6,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,23,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,25,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,11,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,45,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,40,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.8,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2.8,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.5,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,4.1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,5.1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,5.1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,53,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,61,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.3,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,4.7,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2.3,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.9,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.4,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,25,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,21,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0.6,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.3,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2.3,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,26,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,23,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.8,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,61,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,6900,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1900,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,900,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,220,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,5,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,9,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,3600,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1300,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,650,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,140,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,3.1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,900,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,22,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,500,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1600,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,220,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,10,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,10,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2500,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1400,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,150,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,2,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0.2,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,32,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,34,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0.7,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,240,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,5,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,330,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,210,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,250,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,220,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,18,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,58,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,41,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,44,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,43,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1.3,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,1,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
Aquatic,Oxytetracycline,0,ug/L,Chubu, Japan,2017,17
